Ad Topic Line,Area Income,Male,Age,Daily Time Spent on Site,Daily Internet Usage,City,Country,Clicked on Ad,Timestamp
Implemented uniform synergy,59240.24,0,36,35.66,172.57,Alvarezland,Svalbard & Jan Mayen Islands,1,2016-02-21 20:09:00
Horizontal even-keeled challenge,56725.47,0,28,69.95,247.01,New Julie,Malta,0,2016-04-28 01:24:00
Innovative regional groupware,55764.43,1,29,79.83,234.23,North Frankstad,Sudan,0,2016-05-18 19:33:00
Exclusive multi-state Internet solution,64235.51,1,37,85.35,161.42,Claytonside,Ecuador,0,2016-02-17 11:15:00
Mandatory empowering focus group,39939.39,0,28,56.78,124.32,Melanieton,Senegal,1,2016-06-19 23:04:00
Proactive 5thgeneration frame,63319.99,0,26,78.67,195.56,Lake Michaelport,Cambodia,0,2016-02-20 09:54:00
Automated full-range Internet solution,54725.87,0,21,70.09,211.17,East Benjaminville,Belarus,0,2016-01-22 12:58:00
Fully-configurable systemic productivity,69775.75,1,42,60.75,247.05,Garrettborough,Guyana,0,2016-02-19 13:26:00
Multi-lateral multi-state encryption,57545.56,0,24,65.07,233.85,Port Raymondfort,Mali,0,2016-03-01 07:13:00
Intuitive global website,47051.02,0,50,35.25,194.44,Waltertown,Iran,1,2016-03-01 04:39:00
Exclusive disintermediate Internet solution,51600.47,1,52,37.58,176.7,Cameronberg,Bulgaria,1,2016-04-13 13:04:00
Ameliorated actuating workforce,68357.96,1,25,68.01,188.32,Kaylashire,Afghanistan,0,2016-01-01 03:35:00
Synergized clear-thinking protocol,35349.26,0,38,45.08,125.27,Fosterside,Liberia,1,2016-03-27 08:32:00
Triple-buffered multi-state complexity,69784.85,0,27,63.04,159.05,Davidstad,Netherlands Antilles,1,2016-10-07 16:25:00
Enhanced intangible portal,50760.23,0,29,40.18,151.96,Lake Tracy,Hong Kong,1,2016-06-25 04:21:00
Down-sized background groupware,34418.09,1,48,45.17,132.07,Taylormouth,Palau,1,2016-01-27 14:41:00
Switchable real-time product,20592.99,0,50,50.48,162.43,Dianaville,Malawi,1,2016-05-16 18:51:00
Ameliorated local workforce,63528.8,0,28,80.87,203.3,Collinsburgh,Uruguay,0,2016-02-27 20:20:00
Streamlined exuding adapter,44217.68,1,40,41.88,126.11,Port Rachel,Cyprus,1,2016-02-28 23:54:00
Business-focused user-facing benchmark,47929.83,1,48,39.87,139.34,South Rebecca,Mexico,1,2016-06-13 06:11:00
Reactive bi-directional standardization,46024.29,1,45,61.84,105.63,Port Joshuafort,Niger,1,2016-05-05 11:07:00
Virtual bifurcated portal,51900.03,1,31,54.97,116.38,Robinsontown,France,1,2016-07-07 12:17:00
Integrated 3rdgeneration monitoring,72188.9,0,30,71.4,166.31,Beckton,Japan,0,2016-05-24 17:07:00
Balanced responsive open system,56974.51,1,31,70.29,254.65,New Frankshire,Norfolk Island,0,2016-03-30 14:36:00
Focused incremental Graphic Interface,25682.65,1,57,67.26,168.41,North Derekville,Bulgaria,1,2016-05-27 05:54:00
Secured 24hour policy,41884.64,0,46,76.58,258.26,West Sydney,Uzbekistan,0,2016-03-01 16:30:00
Up-sized asymmetric firmware,72196.29,0,38,54.37,140.77,Lake Matthew,Mexico,1,2016-06-25 18:17:00
Distributed fault-tolerant service-desk,54429.17,1,32,82.79,234.81,Lake Zacharyfurt,Brunei Darussalam,0,2016-02-24 10:36:00
Vision-oriented human-resource synergy,58037.66,1,31,66.47,256.39,Lindsaymouth,France,0,2016-03-03 03:13:00
Customer-focused explicit challenge,64011.26,0,44,72.88,125.12,Sarahland,Yemen,1,2016-04-21 19:56:00
Synchronized human-resource moderator,59967.19,1,28,76.44,232.68,Port Julie,Northern Mariana Islands,0,2016-06-04 17:26:00
Open-architected full-range projection,43155.19,1,43,63.37,105.04,Michaelshire,Poland,1,2016-03-23 12:53:00
Versatile local forecast,51501.38,1,48,89.71,204.4,Sarafurt,Bahrain,0,2016-02-17 07:00:00
Ameliorated user-facing help-desk,55187.85,0,31,70.96,256.4,South Denise,Saint Pierre and Miquelon,0,2016-06-26 07:01:00
Enterprise-wide tangible model,33813.08,1,44,35.79,165.62,North Katie,Tonga,1,2016-04-20 13:36:00
Versatile mission-critical application,36497.22,1,38,38.96,140.67,Mauricefurt,Comoros,1,2016-07-21 16:02:00
Extended leadingedge solution,66193.81,0,40,69.17,123.62,New Patrick,Montenegro,1,2016-06-03 11:36:00
Phased zero tolerance extranet,66200.96,1,27,64.2,227.63,Edwardsmouth,Isle of Man,0,2016-11-02 23:45:00
Front-line bifurcated ability,63126.96,0,28,43.7,173.01,Nicholasland,Mayotte,1,2016-04-04 03:57:00
Fundamental modular algorithm,71384.57,1,30,72.97,208.58,Duffystad,Lebanon,1,2016-11-02 21:49:00
Grass-roots cohesive monitoring,67782.17,1,45,51.3,134.42,New Darlene,Bosnia and Herzegovina,1,2016-04-22 02:07:00
Expanded intangible solution,42415.72,1,51,51.63,120.37,South Jessica,Mongolia,1,2016-01-02 17:24:00
Proactive bandwidth-monitored policy,41920.79,0,19,55.55,187.95,West Steven,Guatemala,0,2016-03-24 02:35:00
Virtual 5thgeneration emulation,29875.8,0,35,45.01,178.35,Ronniemouth,Brazil,1,2016-03-06 21:43:00
